,pokemon,description,number_nationaldex
827,Thievul,"
                  It secretly marks potential targets with a scent. By following the scent, it stalks its targets and steals from them when they least expect it.
                ",828
828,Gossifleur,"
                  It anchors itself in the ground with its single leg, then basks in the sun. After absorbing enough sunlight, its petals spread as it blooms brilliantly.
                ",829
829,Eldegoss,"
                  The seeds attached to its cotton fluff are full of nutrients. It spreads them on the wind so that plants and other Pokémon can benefit from them.
                ",830
830,Wooloo,"
                  Its curly fleece is such an effective cushion that this Pokémon could fall off a cliff and stand right back up at the bottom, unharmed.
                ",831
831,Dubwool,"
                  Weave a carpet from its springy wool, and you end up with something closer to a trampoline. You'll start to bounce the moment you set foot on it.
                ",832
832,Chewtle,"
                  Apparently the itch of its teething impels it to snap its jaws at anything in front of it.
                ",833
833,Drednaw,"
                  With jaws that can shear through steel rods, this highly aggressive Pokémon chomps down on its unfortunate prey.
                ",834
834,Yamper,"
                  This Pokémon is very popular as a herding dog in the Galar region. As it runs, it generates electricity from the base of its tail.
                ",835
835,Boltund,"
                  This Pokémon generates electricity and channels it into its legs to keep them going strong. Boltund can run nonstop for three full days.
                ",836
836,Rolycoly,"
                  Most of its body has the same composition as coal. Fittingly, this Pokémon was first discovered in coal mines about 400 years ago.
                ",837
837,Carkol,"
                  It forms coal inside its body. Coal dropped by this Pokémon once helped fuel the lives of people in the Galar region.
                ",838
838,Coalossal,"
                  It's usually peaceful, but the vandalism of mines enrages it. Offenders will be incinerated with flames that reach 2,700 degrees Fahrenheit.
                ",839
839,Applin,"
                  It spends its entire life inside an apple. It hides from its natural enemies, bird Pokémon, by pretending it's just an apple and nothing more.
                ",840
840,Flapple,"
                  It ate a sour apple, and that induced its evolution. In its cheeks, it stores an acid capable of causing chemical burns.
                ",841
841,Appletun,"
                  Eating a sweet apple caused its evolution. A nectarous scent wafts from its body, luring in the bug Pokémon it preys on.
                ",842
842,Silicobra,"
                  As it digs, it swallows sand and stores it in its neck pouch. The pouch can hold more than 17 pounds of sand.
                ",843
843,Sandaconda,"
                  When it contracts its body, over 220 pounds of sand sprays from its nose. If it ever runs out of sand, it becomes disheartened.
                ",844
844,Cramorant,"
                  It's so strong that it can knock out some opponents in a single hit, but it also may forget what it's battling midfight.
                ",845
845,Arrokuda,"
                  If it sees any movement around it, this Pokémon charges for it straightaway, leading with its sharply pointed jaw. It's very proud of that jaw.
                ",846
846,Barraskewda,"
                  This Pokémon has a jaw that's as sharp as a spear and as strong as steel. Apparently Barraskewda's flesh is surprisingly tasty, too.
                ",847
847,Toxel,"
                  It stores poison in an internal poison sac and secretes that poison through its skin. If you touch this Pokémon, a tingling sensation follows.
                ",848
848,Toxtricity,"
                  Capable of generating 15,000 volts of electricity, this Pokémon looks down on all that would challenge it.
                ",849
849,Sizzlipede,"
                  It stores flammable gas in its body and uses it to generate heat. The yellow sections on its belly get particularly hot.
                ",850
850,Centiskorch,"
                  When it heats up, its body temperature reaches about 1,500 degrees Fahrenheit. It lashes its body like a whip and launches itself at enemies.
                ",851
851,Clobbopus,"
                  It's very curious, but its means of investigating things is to try to punch them with its tentacles. The search for food is what brings it onto land.
                ",852
852,Grapploct,"
                  A body made up of nothing but muscle makes the grappling moves this Pokémon performs with its tentacles tremendously powerful.
                ",853
853,Sinistea,"
                  This Pokémon is said to have been born when a lonely spirit possessed a cold, leftover cup of tea.
                ",854
854,Polteageist,"
                  This species lives in antique teapots. Most pots are forgeries, but on rare occasions, an authentic work is found.
                ",855
855,Hatenna,"
                  Via the protrusion on its head, it senses other creatures' emotions. If you don't have a calm disposition, it will never warm up to you.
                ",856
856,Hattrem,"
                  No matter who you are, if you bring strong emotions near this Pokémon, it will silence you violently.
                ",857
857,Hatterene,"
                  It emits psychic power strong enough to cause headaches as a deterrent to the approach of others.
                ",858
858,Impidimp,"
                  Through its nose, it sucks in the emanations produced by people and Pokémon when they feel annoyed. It thrives off this negative energy.
                ",859
859,Morgrem,"
                  When it gets down on all fours as if to beg for forgiveness, it's trying to lure opponents in so that it can stab them with its spear-like hair.
                ",860
860,Grimmsnarl,"
                  With the hair wrapped around its body helping to enhance its muscles, this Pokémon can overwhelm even Machamp.
                ",861
861,Obstagoon,"
                  Its voice is staggering in volume. Obstagoon has a tendency to take on a threatening posture and shout—this move is known as Obstruct.
                ",862
862,Perrserker,"
                  What appears to be an iron helmet is actually hardened hair. This Pokémon lives for the thrill of battle.
                ",863
863,Cursola,"
                  Its shell is overflowing with its heightened otherworldly energy. The ectoplasm serves as protection for this Pokémon's core spirit.
                ",864
864,Sirfetch'd,"
                  Only Farfetch'd that have survived many battles can attain this evolution. When this Pokémon's leek withers, it will retire from combat.
                ",865
865,Runerigus,"
                  A powerful curse was woven into an ancient painting. After absorbing the spirit of a Yamask, the painting began to move.
                ",867
866,Milcery,"
                  This Pokémon was born from sweet-smelling particles in the air. Its body is made of cream.
                ",868
867,Alcremie,"
                  When it trusts a Trainer, it will treat them to berries it's decorated with cream.
                ",869
868,Falinks,"
                  Five of them are troopers, and one is the brass. The brass's orders are absolute.
                ",870
869,Pincurchin,"
                  It feeds on seaweed, using its teeth to scrape it off rocks. Electric current flows from the tips of its spines.
                ",871
870,Snom,"
                  It spits out thread imbued with a frigid sort of energy and uses it to tie its body to branches, disguising itself as an icicle while it sleeps.
                ",872
871,Frosmoth,"
                  Icy scales fall from its wings like snow as it flies over fields and mountains. The temperature of its wings is less than −290 degrees Fahrenheit.
                ",873
872,Stonjourner,"
                  It stands in grasslands, watching the sun's descent from zenith to horizon. This Pokémon has a talent for delivering dynamic kicks.
                ",874
873,Eiscue,"
                  It drifted in on the flow of ocean waters from a frigid place. It keeps its head iced constantly to make sure it stays nice and cold.
                ",875
874,Indeedee,"
                  These intelligent Pokémon touch horns with each other to share information between them.
                ",876
875,Morpeko,"
                  As it eats the seeds stored up in its pocket-like pouches, this Pokémon is not just satisfying its constant hunger. It's also generating electricity.
                ",877
876,Cufant,"
                  It digs up the ground with its trunk. It's also very strong, being able to carry loads of over five tons without any problem at all.
                ",878
877,Copperajah,"
                  They came over from another region long ago and worked together with humans. Their green skin is resistant to water.
                ",879
878,Dracozolt,"
                  In ancient times, it was unbeatable thanks to its powerful lower body, but it went extinct anyway after it depleted all its plant-based food sources.
                ",880
879,Arctozolt,"
                  The shaking of its freezing upper half is what generates its electricity. It has a hard time walking around.
                ",881
880,Dracovish,"
                  Powerful legs and jaws made it the apex predator of its time. Its own overhunting of its prey was what drove it to extinction.
                ",882
881,Arctovish,"
                  Though it's able to capture prey by freezing its surroundings, it has trouble eating the prey afterward because its mouth is on top of its head.
                ",883
882,Duraludon,"
                  Its body resembles polished metal, and it's both lightweight and strong. The only drawback is that it rusts easily.
                ",884
883,Dreepy,"
                  After being reborn as a ghost Pokémon, Dreepy wanders the areas it used to inhabit back when it was alive in prehistoric seas.
                ",885
884,Drakloak,"
                  It's capable of flying faster than 120 mph. It battles alongside Dreepy and dotes on them until they successfully evolve.
                ",886
885,Dragapult,"
                  When it isn't battling, it keeps Dreepy in the holes on its horns. Once a fight starts, it launches the Dreepy like supersonic missiles.
                ",887
886,Zacian,"
                  Known as a legendary hero, this Pokémon absorbs metal particles, transforming them into a weapon it uses to battle.
                ",888
887,Zamazenta,"
                  In times past, it worked together with a king of the people to save the Galar region. It absorbs metal that it then uses in battle.
                ",889
888,Eternatus,"
                  The core on its chest absorbs energy emanating from the lands of the Galar region. This energy is what allows Eternatus to stay active.
                ",890
